# raceline for track_id=oschersleben (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.2.0, sysid_session_id=none-preliminary
# generation_params: track_shape=external_centerline, source_centerline_csv=../config/tracks/oschersleben/source_centerline.csv, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
13.300571,-12.764538,3.737881,2.856192,-0.000076,16.596810
13.400575,-12.860497,3.766036,2.856186,-0.000046,16.539408
13.500580,-12.956455,3.794193,2.856181,-0.000059,16.481806
13.600584,-13.052414,3.822349,2.856173,-0.000091,16.424002
13.700588,-13.148372,3.850507,2.856166,-0.000053,16.365994
13.800593,-13.244331,3.878665,2.856161,-0.000045,16.307780
13.900597,-13.340289,3.906824,2.856155,-0.000079,16.249357
14.000601,-13.436246,3.934983,2.856147,-0.000077,16.190724
14.100605,-13.532204,3.963143,2.856141,-0.000045,16.131877
14.200610,-13.628162,3.991304,2.856136,-0.000054,16.072814
14.300614,-13.724119,4.019465,2.856129,-0.000087,16.013534
14.400618,-13.820076,4.047626,2.856122,-0.000054,15.954034
14.500623,-13.916033,4.075789,2.856117,-0.000043,15.894311
14.600627,-14.011990,4.103952,2.856111,-0.000073,15.834363
14.700631,-14.107947,4.132115,2.856104,-0.000076,15.774186
14.800636,-14.203903,4.160279,2.856098,-0.000043,15.713780
14.900640,-14.299859,4.188444,2.856093,-0.000051,15.653140
15.000644,-14.395815,4.216609,2.856086,-0.000089,15.592264
15.100648,-14.491771,4.244775,2.856079,-0.000059,15.531150
15.200653,-14.587727,4.272941,2.856074,-0.000046,15.469795
15.300657,-14.683683,4.301108,2.856067,-0.000079,15.408195
15.400661,-14.779638,4.329276,2.856059,-0.000091,15.346348
15.500666,-14.875593,4.357445,2.856052,-0.000053,15.284250
15.600670,-14.971548,4.385614,2.856046,-0.000059,15.221899
15.700674,-15.067503,4.413784,2.856038,-0.000112,15.159292
15.800678,-15.163458,4.441954,2.856028,-0.000079,15.096425
15.900683,-15.259412,4.470126,2.856021,-0.000060,15.033296
16.000687,-15.355366,4.498298,2.856013,-0.000098,14.969900
16.100691,-15.451320,4.526471,2.856002,-0.000121,14.906234
16.200696,-15.547273,4.554645,2.855993,-0.000068,14.842295
16.300700,-15.643227,4.582820,2.855986,-0.000070,14.778080
16.400704,-15.739180,4.610995,2.855975,-0.000142,14.713584
16.500709,-15.835132,4.639172,2.855963,-0.000104,14.648805
16.600713,-15.931085,4.667350,2.855954,-0.000074,14.583738
16.700717,-16.027037,4.695529,2.855945,-0.000115,14.518379
16.800721,-16.122989,4.723708,2.855931,-0.000153,14.452724
16.900726,-16.218940,4.751890,2.855919,-0.000081,14.386770
17.000730,-16.314892,4.780072,2.855911,-0.000081,14.320512
17.100734,-16.410843,4.808254,2.855899,-0.000168,14.253947
17.200739,-16.506793,4.836439,2.855884,-0.000129,14.187069
17.300743,-16.602743,4.864624,2.855873,-0.000089,14.119874
17.400747,-16.698693,4.892811,2.855862,-0.000131,14.052357
17.500751,-16.794643,4.920998,2.855846,-0.000185,13.984515
17.600756,-16.890592,4.949188,2.855832,-0.000099,13.916342
17.700760,-16.986541,4.977378,2.855822,-0.000096,13.847834
17.800764,-17.082489,5.005570,2.855808,-0.000190,13.778985
17.900769,-17.178437,5.033763,2.855791,-0.000158,13.709790
18.000773,-17.274384,5.061957,2.855778,-0.000104,13.640244
18.100777,-17.370332,5.090153,2.855765,-0.000145,13.570342
18.200782,-17.466278,5.118350,2.855747,-0.000214,13.500078
18.300786,-17.562225,5.146549,2.855730,-0.000120,13.429446
18.400790,-17.658170,5.174749,2.855719,-0.000110,13.358441
18.500794,-17.754116,5.202951,2.855703,-0.000211,13.287056
18.600799,-17.850061,5.231154,2.855683,-0.000187,13.215286
18.700803,-17.946005,5.259359,2.855668,-0.000118,13.143123
18.800807,-18.041949,5.287566,2.855654,-0.000158,13.070563
18.900812,-18.137893,5.315773,2.855634,-0.000243,12.997597
19.000816,-18.233836,5.343983,2.855615,-0.000143,12.924219
19.100820,-18.329778,5.372195,2.855601,-0.000125,12.850423
19.200824,-18.425721,5.400408,2.855583,-0.000230,12.776200
19.300829,-18.521662,5.428623,2.855561,-0.000217,12.701543
19.400833,-18.617603,5.456839,2.855544,-0.000133,12.626445
19.500837,-18.713544,5.485058,2.855528,-0.000170,12.550898
19.600842,-18.809484,5.513278,2.855506,-0.000272,12.474893
19.700846,-18.905423,5.541500,2.855484,-0.000167,12.398422
19.800850,-19.001362,5.569724,2.855469,-0.000140,12.321477
19.900855,-19.097300,5.597950,2.855450,-0.000249,12.244048
20.000859,-19.193238,5.626178,2.855425,-0.000250,12.166126
20.100863,-19.289175,5.654408,2.855405,-0.000148,12.087702
20.200867,-19.385112,5.682639,2.855388,-0.000181,12.008766
20.300872,-19.481048,5.710873,2.855364,-0.000302,11.929308
20.400876,-19.576983,5.739109,2.855339,-0.000192,11.849316
20.500880,-19.672918,5.767347,2.855322,-0.000154,11.768782
20.600885,-19.768852,5.795587,2.855301,-0.000267,11.687692
20.700889,-19.864785,5.823829,2.855274,-0.000282,11.606035
20.800893,-19.960718,5.852074,2.855251,-0.000162,11.523800
20.900897,-20.056650,5.880320,2.855234,-0.000191,11.440974
21.000902,-20.152582,5.908569,2.855208,-0.000331,11.357544
21.100906,-20.248513,5.936820,2.855180,-0.000218,11.273497
21.200910,-20.344443,5.965074,2.855161,-0.000169,11.188818
21.300915,-20.440373,5.993329,2.855138,-0.000285,11.103493
21.400919,-20.536302,6.021587,2.855108,-0.000317,11.017508
21.500923,-20.632230,6.049848,2.855083,-0.000177,10.930846
21.600928,-20.728157,6.078110,2.855064,-0.000202,10.843492
21.700932,-20.824084,6.106375,2.855036,-0.000361,10.755428
21.800936,-20.920010,6.134643,2.855006,-0.000245,10.666638
21.900940,-21.015935,6.162913,2.854984,-0.000184,10.577101
22.000945,-21.111860,6.191185,2.854960,-0.000302,10.486801
22.100949,-21.207784,6.219460,2.854927,-0.000351,10.395716
22.200953,-21.303706,6.247739,2.854900,-0.000192,10.303826
22.300958,-21.399629,6.276019,2.854880,-0.000212,10.211109
22.400962,-21.495550,6.304301,2.854850,-0.000391,10.117543
22.500966,-21.591471,6.332587,2.854817,-0.000273,10.023103
22.600970,-21.687391,6.360876,2.854793,-0.000199,9.927764
22.700975,-21.783310,6.389166,2.854767,-0.000317,9.831502
22.800979,-21.879228,6.417460,2.854733,-0.000380,9.734287
22.900983,-21.975146,6.445757,2.854704,-0.000201,9.636091
