# raceline for track_id=gym_oval (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.1.0, sysid_session_id=none-preliminary
# generation_params: track_shape=stadium, straight_length_m=8.0, turn_radius_m=3.0, points_per_meter=10.0, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
13.812632,6.794818,1.080991,1.939840,0.333805,5.337571
13.912658,6.757184,1.173667,1.973221,0.333805,5.337573
14.012684,6.716478,1.265036,2.006603,0.333805,5.337575
14.112710,6.672746,1.354996,2.039984,0.333805,5.337576
14.212737,6.626035,1.443445,2.073366,0.333804,5.337578
14.312763,6.576398,1.530287,2.106747,0.333804,5.337580
14.412789,6.523890,1.615423,2.140129,0.333804,5.337581
14.512816,6.468570,1.698760,2.173510,0.333804,5.337583
14.612842,6.410500,1.780204,2.206892,0.333804,5.337585
14.712869,6.349744,1.859665,2.240273,0.333803,5.337586
14.812896,6.286369,1.937053,2.273655,0.333803,5.337588
14.912922,6.220447,2.012284,2.307036,0.333803,5.337590
15.012949,6.152051,2.085272,2.340417,0.333803,5.337591
15.112976,6.081256,2.155937,2.373799,0.333803,5.337593
15.213003,6.008143,2.224200,2.407180,0.333802,5.337595
15.313030,5.932792,2.289985,2.440562,0.333802,5.337596
15.413057,5.855288,2.353218,2.473943,0.333802,5.337598
15.513084,5.775716,2.413829,2.507325,0.333802,5.337600
15.613111,5.694165,2.471751,2.540706,0.333801,5.337601
15.713138,5.610727,2.526919,2.574088,0.333801,5.337603
15.813166,5.525494,2.579272,2.607469,0.333801,5.337605
15.913193,5.438561,2.628750,2.640851,0.333801,5.337606
16.013220,5.350025,2.675300,2.674232,0.333801,5.337608
16.113248,5.259984,2.718869,2.707614,0.333800,5.337610
16.213275,5.168540,2.759408,2.740995,0.333800,5.337612
16.313303,5.075794,2.796873,2.774377,0.333800,5.337613
16.413331,4.981849,2.831222,2.807758,0.333800,5.337615
16.513358,4.886809,2.862416,2.841140,0.333800,5.337617
16.613386,4.790782,2.890420,2.874521,0.333799,5.337618
16.713414,4.693873,2.915205,2.907903,0.333799,5.337620
16.813442,4.596191,2.936741,2.941284,0.333799,5.337622
16.913470,4.497844,2.955005,2.974665,0.333799,5.337624
17.013498,4.398943,2.969976,3.008047,0.333798,5.337625
17.113526,4.299597,2.981638,3.041428,0.333798,5.337627
17.213554,4.199917,2.989978,3.073146,0.300441,5.512967
17.313603,4.100011,2.995320,3.099857,0.233586,5.682932
17.413690,3.999969,2.998328,3.119889,0.166763,5.848024
17.513811,3.899857,2.999665,3.133242,0.100043,6.008634
17.613949,3.799720,3.000000,3.139922,0.033374,6.165087
17.714088,3.699580,3.000000,3.141593,0.000000,6.317670
17.814228,3.599440,3.000000,3.141593,-0.000000,6.466654
17.914368,3.499301,3.000000,3.141593,-0.000000,6.612282
18.014508,3.399161,3.000000,3.141593,0.000000,6.754772
18.114648,3.299021,3.000000,3.141593,0.000000,6.894317
18.214788,3.198881,3.000000,3.141593,-0.000000,7.031092
18.314928,3.098741,3.000000,3.141593,0.000000,7.165258
18.415068,2.998601,3.000000,3.141593,0.000000,7.296957
18.515207,2.898461,3.000000,3.141593,-0.000000,7.426321
18.615347,2.798321,3.000000,3.141593,0.000000,7.553470
18.715487,2.698182,3.000000,3.141593,0.000000,7.678513
18.815627,2.598042,3.000000,3.141593,-0.000000,7.801553
18.915767,2.497902,3.000000,3.141593,-0.000000,7.922682
19.015907,2.397762,3.000000,3.141593,0.000000,8.041986
19.116047,2.297622,3.000000,3.141593,-0.000000,8.159547
19.216187,2.197482,3.000000,3.141593,-0.000000,8.275438
19.316327,2.097342,3.000000,3.141593,-0.000000,8.389727
19.416466,1.997202,3.000000,3.141593,0.000000,8.502481
19.516606,1.897062,3.000000,3.141593,-0.000000,8.613759
19.616746,1.796923,3.000000,3.141593,-0.000000,8.723618
19.716886,1.696783,3.000000,3.141593,0.000000,8.832110
19.817026,1.596643,3.000000,3.141593,-0.000000,8.939286
19.917166,1.496503,3.000000,3.141593,-0.000000,9.045192
20.017306,1.396363,3.000000,3.141593,-0.000000,9.149872
20.117446,1.296223,3.000000,3.141593,0.000000,9.253368
20.217585,1.196083,3.000000,3.141593,-0.000000,9.355719
20.317725,1.095943,3.000000,3.141593,-0.000000,9.456962
20.417865,0.995804,3.000000,3.141593,0.000000,9.557133
20.518005,0.895664,3.000000,3.141593,-0.000000,9.656265
20.618145,0.795524,3.000000,3.141593,-0.000000,9.754389
